"ï..â...of.the.samples" "body.mass" "buffer" "PI" "total.add.buffer.PI" "sex" "protein.conc" "MDA_prot" "MDA..neg.values." "treatment" "TE" "leg_side" "before_treatment_feeding_date" "treatment_date" "treatment_time" "molt_date" "MDA.532.600" "MDA" "MDA.con...nmol.mgProtein." "GSH"
"1" 1 0.0334 250.5 10.4375 260.9375 "female" 17.35405213 -1.67252e-05 -0.009 "scape" 42.37657048 "failed" "epigyna injured" "" "" "11/08/2016" 0.006 0.1935 5.57507e-06 0.089333842
"2" 2 0.0262 196.5 8.1875 204.6875 "female" 17.16082626 3.94649e-05 0.021 "leg_tip" 41.72774755 "left" "16/08/2016" "23/08/2016" "12h47" "11/08/2016" 0.021 0.67725 3.94649e-05 0.254889299
"3" 3 0.034 255 10.625 265.625 "female" 19.51693531 1.56979e-05 0.0095 "control" 48.76244738 "" "16/08/2016" "23/08/2016" "12h47" "12/08/2016" 0.0095 0.306375 1.56979e-05 0.001632221
"4" 4 0.0348 261 10.875 271.875 "female" 17.48494708 -9.22222e-07 -5e-04 "mid_tibia" 42.80794815 "left" "16/08/2016" "23/08/2016" "12h47" "12/08/2016" 0.011 0.35475 1.01444e-05 0.001632221
"5" 5 0.0363 272.25 11.34375 283.59375 "female" 17.67817296 1.55064e-05 0.0085 "control" 43.43306842 "" "16/08/2016" "23/08/2016" "12h47" "11/08/2016" 0.0085 0.274125 1.55064e-05 0.966711677
"6" 6 0.0194 145.5 6.0625 151.5625 "female" 17.63454131 3.01752e-05 0.0165 "scape" 43.29310966 "" "16/08/2016" "23/08/2016" "12h47" "12/08/2016" 0.0165 0.532125 3.01752e-05 0.003264442
"7" 7 0.023 172.5 7.1875 179.6875 "female" 17.34158595 -6.50892e-06 -0.0035 "mid_tibia" 42.33514726 "left" "16/08/2016" "23/08/2016" "12h47" "11/08/2016" 0.001 0.03225 9.29846e-07 0.209834218
"8" 8 0.0235 176.25 7.34375 183.59375 "female" 16.84917162 7.65616e-06 0.004 "leg_tip" 40.64990123 "left" "16/08/2016" "23/08/2016" "12h47" "12/08/2016" 0.004 0.129 7.65616e-06 0.076228003
"9" 9 0.0383 287.25 11.96875 299.21875 "female" 25.68146403 -2.51154e-06 -0.002 "mid_tibia" 61.06140994 "right" "16/08/2016" "23/08/2016" "12h47" "11/08/2016" 0.001 0.03225 6.27885e-07 0.083172251
"10" 10 0.0245 183.75 7.65625 191.40625 "female" 24.72780084 1.04336e-05 0.008 "mid_tibia" 59.55968723 "right" "16/08/2016" "23/08/2016" "12h47" "10/08/2016" 0.008 0.258 1.04336e-05 0.019290801
